Notes,Lab Status,label
Moving very slowly down driveway under a huge tree very close to my mailbox . Which is 3/4 of a mile from my house,Negative ID,0
We found what we believe could be a murder hornet at our house. We have him in alum hill baggie.,Negative ID,0
I found this stuck in my wheel of our car after a trip between Leavenworth WA and Okanogan Wa,Negative ID,0
"This was seen in Tracyton, Wa on July 30, 2020. The bee was 1.5 inches long.",Negative ID,0
Insect was found upside down barely alive on a trail.,Negative ID,0
Large bug/bee murder hornet found in Manson WA. We saved it in a box,Negative ID,0
Roughly 2 inches in length not including the stinger,Negative ID,0
Ground nest,Negative ID,0
I was doing some tree branch trimming in my little forest and spotted this big thing,Negative ID,0
"Orange face with dark eyes, big stinger,",Negative ID,0
burrows -- don't know if it's the right species; I hope not!,Negative ID,0
It’s huge! But unclear if murder hornet. Never seen one this size. I have it.,Negative ID,0
Found the cats playing with it outdoor. It was hardly flying,Negative ID,0
"Very large, trapped and tried to chew glass container.",Negative ID,0
"The insect was very large--more than an inch in length.  I can't find a similar picture online.   The back end of the insect is half orange and half black, i.e., not striped, with stinger sticking out.  I've seen 2 at a time several times in the past 7 -",Negative ID,0
I may have spotted on on the Whitehorse trail in Arlington,Negative ID,0
"Insect was lying upside on the ground (likely dead) regular size wasp was flying around near and landing on it (seen in closer photo). Insect was big, maybe 1.5 inches.",Negative ID,0
Hard to see head in photo. Color is brown/orange.,Negative ID,0
It was laying still on the #15 green. I approached to move it (thought it was a beetle) until I moved my putter head close and it made a buzzing noise unlike anything I have heard from an insect.  So I stepped on it to kill it and we saved it in a plasti,Negative ID,0
on lewis butte trail above Winthrop.  no wings but....,Negative ID,0
"About 1.5in long. Just west of Boardman OR, On the shore of the Columbia river. One of the pictures was from it floating in the water after we swiped it off our infant.",Negative ID,0
"Was seen moving on the ground, going into small holes that were created when we covered lawn with top soil.",Negative ID,0
It was the only one located and was put into a pickle jar - the hand holding the jar is an adult females hand,Negative ID,0
Found caught in fake Halloween spider web.  Picture attach.,Negative ID,0
